Timestamp,university_type,location,academic_year,faculty,major,learning_hours,نوع التطوير اللي بتركز عليه أكتر,interview_readiness,mentor_contact,apps_count,acceptances_count,feedback_frequency,requirements_clarity,market_understanding,perceived_barriers,paid_for_training,events_attended,can_identify_gaps,frustration_sources,wants_skill_report,biggest_challenge,python_lvl,sql_lvl,excel_lvl,stats_lvl,viz_tools,ml_knowledge,projects_count,kaggle_participation,has_portfolio,info_sources,has_python,has_sql,has_excel,has_statistics,has_tableau,has_powerbi,has_any_viz_tool,learning_hours_num,apps_count_num,accept_count_num,events_num,region_category,is_cairo,faculty_category,is_related_major,has_ml,projects_num,has_projects,has_kaggle,has_portfolio_flag,has_mentor,tried_mentor,paid_training_flag,cant_afford,no_value,high_interview_readiness,is_government_univ,is_private_univ,is_national_univ,is_diploma,is_graduate,is_senior
2026-03-09 06:32:20.612,حكومية,الغربية,تانية,تجارة / إدارة أعمال,Bis ,5–10,"كورسات أونلاين, مشاريع عملية شخصية, تدريب فعلي, مسابقات / أنشطة, بناء CV / LinkedIn",2,نعم,4_10,3_2,احيانا,واضحة لكن مش عارف أحدد موقفي,4,"نقص خبرة عملية مثبتة, ضعف في عرض نفسي, منافسة عالية جدًا, شبكة علاقات محدودة","لا , لا اري قيمة لذلك",لا,تقريبا,عملية تقديم معقدة,جدًا,عدم وجود تدريب أو خبرة عملية,1,2,3,3,Power BI,لا,2 – 3 مشاريع,لا,نعم,LinkedIn,False,True,True,True,False,True,True,7,0,0,0,Provinces,False,Business,1,False,2.5,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False
2026-03-10 16:57:30.897,حكومية,الدقهلية,تالته,تجارة / إدارة أعمال,Accounting ,أكثر من 10,"كورسات أونلاين, مشاريع عملية شخصية, تدريب فعلي, بناء CV / LinkedIn",3,نعم,3_1,3_2,احيانا,واضحة جدًا وعارف أقيس نفسي عليها,3,"نقص خبرة عملية مثبتة, قلة توجيه أو عدم وضوح متطلبات السوق, منافسة عالية جدًا","نعم , اكثر من مرة",مرة أو مرتين,تقريبا,منافسة عالية جدًا,جدًا,قلة المشاريع العملية في السيرة الذاتية,1,1,2,2,لم أستخدم أي أداة,لا,4 – 5 مشاريع,لا,نعم,أصدقاء/معارف,False,False,True,True,False,False,False,12,0,0,1,Provinces,False,Business,0,False,4.5,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False
2026-03-10 17:05:40.110,خاصة,الدقهلية,تالته,هندسة,مدني,أقل من 2,كورسات أونلاين,3,نعم,0,ولا واحدة,ابدا,واضحة لكن مش عارف أحدد موقفي,4,"منافسة عالية جدًا, شبكة علاقات محدودة, ","نعم , اكثر من مرة",مرة أو مرتين,نعم بدقة,عدم الرد تمامًا,جدًا,قلة المشاريع العملية في السيرة الذاتية,0,1,2,3,لم أستخدم أي أداة,نعم,لم أنجز أي مشروع بعد,لا,لا,الجامعة,False,False,True,True,False,False,False,1,0,0,1,Provinces,False,Engineering,0,True,0.0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
2026-03-10 17:06:11.449,خاصة,الدقهلية,تانية,BIS,Accounting ,2–5,كورسات أونلاين,1,لا,3_1,ولا واحدة,ابدا,واضحة لكن مش عارف أحدد موقفي,3,"نقص مهارات تقنية محددة, نقص خبرة عملية مثبتة, شبكة علاقات محدودة","نعم , اكثر من مرة",أكثر من 3 مرات,تقريبا,متطلبات كتير ومش واضحة,جدًا,عدم وجود تدريب أو خبرة عملية,0,0,3,4,لم أستخدم أي أداة,نعم,لم أنجز أي مشروع بعد,لا,لا,LinkedIn,False,False,True,True,False,False,False,3,0,0,3,Provinces,False,Business/Tech,0,True,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2026-03-10 21:48:09.363,حكومية,الدقهلية,تانية,علوم,Computer Science,5–10,"مشاريع عملية شخصية, تدريب فعلي, بناء CV / LinkedIn",5,لا,11_25,ولا واحدة,ابدا,واضحة لكن مش عارف أحدد موقفي,4,"نقص خبرة عملية مثبتة, منافسة عالية جدًا, نوع الجامعة أو الخلفية الأكاديمية, شبكة علاقات محدودة","لا , لا استطيع تحمل التكلفة",لم تتوفر فرص في منطقتي,تقريبا,منافسة عالية جدًا,جدًا,قلة المشاريع العملية في السيرة الذاتية,1,1,3,3,Power BI,لا,مشروع واحد,لا,نعم,LinkedIn,False,False,True,True,False,True,True,7,0,0,0,Provinces,False,Science,1,False,1.0,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False
2026-03-10 21:53:31.822,حكومية,الدقهلية,تانية,علوم,Computer Science,5–10,"كورسات أونلاين, مشاريع عملية شخصية",3,لا,4_10,ولا واحدة,ابدا,غير واضحة ومبهمة,3,"نقص مهارات تقنية محددة, ضعف في عرض نفسي, قلة توجيه أو عدم وضوح متطلبات السوق, نوع الجامعة أو الخلفية الأكاديمية","نعم , اكثر من مرة",لم تتوفر فرص في منطقتي,تقريبا,منافسة عالية جدًا,جدًا,قلة المشاريع العملية في السيرة الذاتية,3,2,2,3,Power BI,نعم,مشروع واحد,لا,لا,أصدقاء/معارف,True,True,True,True,False,True,True,7,0,0,0,Provinces,False,Science,1,True,1.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2026-03-10 22:12:36.455,حكومية,أسيوط,رابعة,BIS,.,5–10,"كورسات أونلاين, مشاريع عملية شخصية, تدريب فعلي, مسابقات / أنشطة, بناء CV / LinkedIn",5,نعم,11_25,3_2,احيانا,بتختلف من فرصة للتانية,5,نقص خبرة عملية مثبتة,"لا , لا اري قيمة لذلك",أكثر من 3 مرات,تقريبا,رفض بدون توضيح سبب,الي حد ما,عدم وجود تدريب أو خبرة عملية,3,2,4,3,"Tableau, Power BI, Matplotlib",نعم,2 – 3 مشاريع,لا,نعم,الجامعة,True,True,True,True,True,True,True,7,0,0,3,Provinces,False,Business/Tech,0,True,2.5,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True
2026-03-10 22:21:07.159,حكومية,المنوفية,تانية,حاسبات ومعلومات / علوم الحاسب,عام,2–5,"كورسات أونلاين, تدريب فعلي",3,نعم,3_1,ولا واحدة,احيانا,بتختلف من فرصة للتانية,3,"نقص خبرة عملية مثبتة, ضعف في عرض نفسي, شبكة علاقات محدودة","لا , لا اري قيمة لذلك",لا,تقريبا,عدم الرد تمامًا,جدًا,تقريبا اول تلاته عشان لسه مبتدأه,1,2,2,3,Power BI,لا,2 – 3 مشاريع,لا,نعم,LinkedIn,False,True,True,True,False,True,True,3,0,0,0,Provinces,False,Tech/CS,0,False,2.5,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False
2026-03-10 22:29:16.695,حكومية,الغربية,تالته,BIS,BIS,2–5,كورسات أونلاين,2,لا,4_10,3_2,ابدا,واضحة لكن مش عارف أحدد موقفي,3,"نقص مهارات تقنية محددة, نقص خبرة عملية مثبتة, ضعف في عرض نفسي, منافسة عالية جدًا","نعم , مرة واحدة",لم تتوفر فرص في منطقتي,نعم بدقة,منافسة عالية جدًا,جدًا,ضعف المهارات التقنية المطلوبة,1,1,2,2,لم أستخدم أي أداة,لا,2 – 3 مشاريع,لا,نعم,جروبات فيسبوك,False,False,True,True,False,False,False,3,0,0,0,Provinces,False,Business/Tech,1,False,2.5,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
2026-03-10 22:35:38.972,حكومية,القاهرة,تالته,تجارة / إدارة أعمال,عام,2–5,"كورسات أونلاين, تدريب فعلي, بناء CV / LinkedIn",3,نعم,4_10,ولا واحدة,ابدا,بتختلف من فرصة للتانية,3,"نقص مهارات تقنية محددة, نقص خبرة عملية مثبتة, منافسة عالية جدًا","لا , لا استطيع تحمل التكلفة",مرة أو مرتين,تقريبا,رفض بدون توضيح سبب,جدًا,عدم وجود تدريب أو خبرة عملية,0,1,2,1,"Tableau, Power BI",لا,4 – 5 مشاريع,لا,لا,مواقع توظيف,False,False,True,False,True,True,True,3,0,0,1,Cairo/Alex,True,Business,0,False,4.5,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
2026-03-10 22:39:22.921,حكومية,الدقهلية,خريج حديث,حاسبات ومعلومات / علوم الحاسب,تكنولوجيا المعلومات ,2–5,"مشاريع عملية شخصية, بناء CV / LinkedIn",4,نعم,11_25,3_2,ابدا,واضحة لكن مش عارف أحدد موقفي,4,"نقص مهارات تقنية محددة, ضعف في عرض نفسي, شبكة علاقات محدودة","نعم , مرة واحدة",مرة أو مرتين,نعم بدقة,متطلبات كتير ومش واضحة,الي حد ما,عدم وجود تدريب أو خبرة عملية,2,3,3,2,"Tableau, Power BI",نعم,أكثر من 5 مشاريع,نعم,نعم,LinkedIn,True,True,True,True,True,True,True,3,0,0,1,Provinces,False,Tech/CS,0,True,7.0,True,True,True,True,False,True,False,False,True,True,False,False,False,True,False
2026-03-10 22:52:11.953,حكومية,الدقهلية,تالته,حاسبات ومعلومات / علوم الحاسب,Computer science,أقل من 2,كورسات أونلاين,3,نعم,11_25,ولا واحدة,ابدا,واضحة جدًا وعارف أقيس نفسي عليها,3,"نقص خبرة عملية مثبتة, منافسة عالية جدًا, شبكة علاقات محدودة, ","نعم , مرة واحدة",لا,تقريبا,عدم الرد تمامًا,الي حد ما,قلة المشاريع العملية في السيرة الذاتية,3,3,3,2,Power BI,نعم,2 – 3 مشاريع,نعم,نعم,LinkedIn,True,True,True,True,False,True,True,1,0,0,0,Provinces,False,Tech/CS,1,True,2.5,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False
2026-03-10 22:55:55.663,حكومية,الدقهلية,تالته,حاسبات ومعلومات / علوم الحاسب,Cs,أقل من 2,"كورسات أونلاين, مشاريع عملية شخصية, تدريب فعلي, مسابقات / أنشطة, بناء CV / LinkedIn",3,لا,4_10,ولا واحدة,ابدا,بتختلف من فرصة للتانية,2,"نقص مهارات تقنية محددة, نقص خبرة عملية مثبتة, ضعف في عرض نفسي, قلة توجيه أو عدم وضوح متطلبات السوق, منافسة عالية جدًا, نوع الجامعة أو الخلفية الأكاديمية, شبكة علاقات محدودة","لا , لا اري قيمة لذلك",أكثر من 3 مرات,تقريبا,رفض بدون توضيح سبب,الي حد ما,ضعف المهارات التقنية المطلوبة,3,2,3,3,"Power BI, Matplotlib, Seaborn",لا,2 – 3 مشاريع,لا,نعم,LinkedIn,True,True,True,True,False,True,True,1,0,0,3,Provinces,False,Tech/CS,1,False,2.5,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
2026-03-10 23:15:18.159,حكومية,الغربية,تالته,BIS,BIS,2–5,"كورسات أونلاين, مشاريع عملية شخصية, مسابقات / أنشطة",4,نعم,4_10,ولا واحدة,ابدا,غير واضحة ومبهمة,4,"نقص خبرة عملية مثبتة, قلة توجيه أو عدم وضوح متطلبات السوق, منافسة عالية جدًا","نعم , اكثر من مرة",أكثر من 3 مرات,نعم بدقة,عدم الرد تمامًا,الي حد ما,عدم وجود تدريب أو خبرة عملية,1,2,4,4,Power BI,لا,4 – 5 مشاريع,لا,لا,LinkedIn,False,True,True,True,False,True,True,3,0,0,3,Provinces,False,Business/Tech,1,False,4.5,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False
2026-03-10 23:16:12.489,حكومية,الإسكندرية,رابعة,علوم,Computer science and statistics,أكثر من 10,"كورسات أونلاين, مشاريع عملية شخصية, تدريب فعلي, مسابقات / أنشطة, بناء CV / LinkedIn",5,نعم,+25,اكثر,احيانا,واضحة جدًا وعارف أقيس نفسي عليها,4,"منافسة عالية جدًا, شبكة علاقات محدودة","لا , لا اري قيمة لذلك",أكثر من 3 مرات,تقريبا,رفض بدون توضيح سبب,جدًا,عدم التأكد من اذا كنت مناسب ام لا,4,3,4,4,"Tableau, Power BI, Matplotlib, Seaborn",نعم,أكثر من 5 مشاريع,نعم,نعم,LinkedIn,True,True,True,True,True,True,True,12,30,0,3,Cairo/Alex,True,Science,1,True,7.0,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True
2026-03-10 23:18:16.869,حكومية,القاهرة,تالته,BIS,BIS,5–10,"كورسات أونلاين, مشاريع عملية شخصية, بناء CV / LinkedIn",2,نعم,11_25,3_2,نادرا,بتختلف من فرصة للتانية,3,"نقص خبرة عملية مثبتة, منافسة عالية جدًا, شبكة علاقات محدودة","نعم , مرة واحدة",لا,تقريبا,منافسة عالية جدًا,الي حد ما,ضعف المهارات التقنية المطلوبة,2,2,3,1,Power BI,لا,2 – 3 مشاريع,لا,نعم,جروبات فيسبوك,True,True,True,False,False,True,True,7,0,0,0,Cairo/Alex,True,Business/Tech,1,False,2.5,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False
2026-03-10 23:29:08.569,حكومية,الغربية,تالته,علوم,Computer science ,5–10,"كورسات أونلاين, مشاريع عملية شخصية",4,نعم,0,ولا واحدة,ابدا,واضحة جدًا وعارف أقيس نفسي عليها,4,لسه مقدمتش والله دعواتكم,"لا , لا اري قيمة لذلك",لم تتوفر فرص في منطقتي,نعم بدقة,مفيش سبب غير اني بحاول اوصل لنقطة معينه بعد كده هدوس ان شاء الله ,جدًا,عدم وجود تدريب أو خبرة عملية,3,1,2,3,"Matplotlib, Seaborn",نعم,لم أنجز أي مشروع بعد,لا,نعم,مواقع توظيف,True,False,True,True,False,False,False,7,0,0,0,Provinces,False,Science,1,True,0.0,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False
2026-03-10 23:29:09.283,حكومية,الغربية,تالته,BIS,BIS,2–5,كورسات أونلاين,3,نعم,3_1,3_2,احيانا,بتختلف من فرصة للتانية,3,"ضعف في عرض نفسي, شبكة علاقات محدودة","نعم , مرة واحدة",مرة أو مرتين,تقريبا,منافسة عالية جدًا,جدًا,قلة المشاريع العملية في السيرة الذاتية,1,2,3,2,"Power BI, Matplotlib",لا,2 – 3 مشاريع,لا,نعم,LinkedIn,False,True,True,True,False,True,True,3,0,0,1,Provinces,False,Business/Tech,1,False,2.5,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False
2026-03-10 23:30:33.534,حكومية,المنوفية,رابعة,حاسبات ومعلومات / علوم الحاسب,Ai,5–10,"كورسات أونلاين, مشاريع عملية شخصية",5,نعم,11_25,ولا واحدة,ابدا,واضحة جدًا وعارف أقيس نفسي عليها,4,"منافسة عالية جدًا, شبكة علاقات محدودة","لا , لا اري قيمة لذلك",أكثر من 3 مرات,نعم بدقة,عدم الرد تمامًا,جدًا,عدم معرفة متطلبات الوظائف في السوق,3,3,3,3,"Power BI, Matplotlib, Seaborn",نعم,4 – 5 مشاريع,نعم,نعم,LinkedIn,True,True,True,True,False,True,True,7,0,0,3,Provinces,False,Tech/CS,1,True,4.5,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True
2026-03-10 23:31:24.496,خاصة,القاهرة,تالته,BIS,BIS,5–10,"كورسات أونلاين, مشاريع عملية شخصية",3,لا,4_10,اكثر,نادرا,بتختلف من فرصة للتانية,3,"نقص خبرة عملية مثبتة, قلة توجيه أو عدم وضوح متطلبات السوق, منافسة عالية جدًا, شبكة علاقات محدودة","لا , لا اري قيمة لذلك",مرة أو مرتين,نعم بدقة,منافسة عالية جدًا,جدًا,معظم الوظائف بيكون مطلوب خريجين و يكون عندهم خبرة سابقة ,3,1,2,3,"Tableau, Power BI, Matplotlib",لا,4 – 5 مشاريع,لا,نعم,LinkedIn,True,False,True,True,True,True,True,7,0,0,1,Cairo/Alex,True,Business/Tech,1,False,4.5,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
